epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1198.76,0.8853,0.5218,0.86072,0.75366,0.67174,0.73638,0.47437,0.87959,0.56663,0.87302,0.001895,0.001895,0.001895
71,1215.85,0.87483,0.51246,0.85685,0.78726,0.68261,0.74981,0.48633,0.85311,0.52325,0.86201,0.00185,0.00185,0.00185
72,1232.88,0.87778,0.51615,0.85997,0.7728,0.68366,0.75443,0.48381,0.88228,0.55373,0.87107,0.001805,0.001805,0.001805
73,1249.96,0.87291,0.51276,0.85589,0.74283,0.72923,0.75949,0.48235,0.86157,0.53692,0.86649,0.00176,0.00176,0.00176
74,1266.8,0.87356,0.51537,0.85645,0.73471,0.72731,0.76042,0.48306,0.86939,0.53192,0.86878,0.001715,0.001715,0.001715
75,1284.11,0.85693,0.50376,0.85635,0.75722,0.72597,0.76552,0.49205,0.85763,0.52637,0.86844,0.00167,0.00167,0.00167
76,1301.24,0.86363,0.50501,0.85632,0.7444,0.71324,0.75497,0.48089,0.87496,0.55285,0.87696,0.001625,0.001625,0.001625
77,1318.37,0.86587,0.50288,0.85325,0.77981,0.70477,0.76428,0.48859,0.87621,0.54398,0.87659,0.00158,0.00158,0.00158
78,1335.49,0.86208,0.5039,0.85721,0.74246,0.7215,0.76309,0.48502,0.86315,0.54718,0.86771,0.001535,0.001535,0.001535
79,1353.58,0.84885,0.49646,0.8555,0.71899,0.74223,0.76841,0.49144,0.85507,0.52914,0.86099,0.00149,0.00149,0.00149
80,1370.54,0.8548,0.49126,0.85155,0.77765,0.70719,0.77049,0.49875,0.85239,0.51447,0.85906,0.001445,0.001445,0.001445
81,1387.54,0.85388,0.49797,0.85084,0.7567,0.73675,0.77211,0.49073,0.85707,0.51936,0.8629,0.0014,0.0014,0.0014
82,1404.48,0.84186,0.49168,0.85163,0.73525,0.72789,0.7692,0.49221,0.85017,0.52366,0.86117,0.001355,0.001355,0.001355
83,1421.38,0.84072,0.47867,0.84835,0.75478,0.71138,0.77195,0.49177,0.85147,0.52953,0.8628,0.00131,0.00131,0.00131
84,1438.46,0.83842,0.4869,0.84967,0.73429,0.72642,0.76677,0.49528,0.85143,0.53797,0.86017,0.001265,0.001265,0.001265
85,1455.69,0.82892,0.47492,0.84454,0.74402,0.73352,0.77362,0.49742,0.83908,0.52643,0.85235,0.00122,0.00122,0.00122
86,1472.65,0.8264,0.47581,0.84621,0.74324,0.74334,0.76891,0.49707,0.84229,0.52201,0.85612,0.001175,0.001175,0.001175
87,1489.67,0.83614,0.47849,0.84636,0.73788,0.72731,0.76164,0.48425,0.84793,0.5234,0.86075,0.00113,0.00113,0.00113
88,1506.64,0.83021,0.47415,0.84816,0.75871,0.70934,0.76637,0.49373,0.84844,0.52771,0.8606,0.001085,0.001085,0.001085
89,1523.69,0.83912,0.48292,0.84989,0.76126,0.72521,0.76806,0.49415,0.83789,0.51781,0.85708,0.00104,0.00104,0.00104
90,1540.85,0.8231,0.47134,0.84143,0.73282,0.73918,0.76821,0.496,0.84549,0.52755,0.86306,0.000995,0.000995,0.000995
91,1573.81,0.80311,0.46662,0.83599,0.76622,0.71289,0.7637,0.4851,0.85631,0.54009,0.85948,0.00095,0.00095,0.00095
92,1590.68,0.79462,0.44824,0.83958,0.78587,0.69503,0.76713,0.49463,0.85279,0.52092,0.86526,0.000905,0.000905,0.000905
93,1607.45,0.77531,0.43995,0.83286,0.74279,0.71742,0.76176,0.49394,0.85787,0.52169,0.864,0.00086,0.00086,0.00086
94,1624.18,0.77292,0.43485,0.83492,0.75195,0.72428,0.76544,0.48979,0.84415,0.50599,0.85694,0.000815,0.000815,0.000815
95,1641.35,0.76812,0.43273,0.83248,0.75528,0.71941,0.76388,0.48961,0.84692,0.51759,0.85819,0.00077,0.00077,0.00077
96,1658.2,0.77395,0.43473,0.83015,0.76823,0.71562,0.76613,0.49312,0.83841,0.50602,0.85493,0.000725,0.000725,0.000725
97,1674.8,0.77106,0.43401,0.83275,0.74835,0.72783,0.77134,0.49717,0.83597,0.51536,0.85508,0.00068,0.00068,0.00068
98,1691.52,0.76577,0.42871,0.82562,0.78718,0.68946,0.76926,0.49916,0.84636,0.50706,0.86371,0.000635,0.000635,0.000635
99,1708.4,0.76305,0.42257,0.82974,0.77697,0.69921,0.77183,0.49756,0.83067,0.50439,0.86124,0.00059,0.00059,0.00059
100,1725.19,0.76212,0.42189,0.83174,0.79544,0.67911,0.76955,0.496,0.83516,0.50889,0.85737,0.000545,0.000545,0.000545
